Status	Approved symbol	Approved name	UniProt accession
Approved	OR8U8	olfactory receptor family 8 subfamily U member 8	P0C7N1
Approved	OR8U9	olfactory receptor family 8 subfamily U member 9	P0C7N5
Approved	OR9A2	olfactory receptor family 9 subfamily A member 2	Q8NGT5
Approved	OR9A4	olfactory receptor family 9 subfamily A member 4	Q8NGU2
Approved	OR9G1	olfactory receptor family 9 subfamily G member 1	Q8NH87
Approved	OR9G4	olfactory receptor family 9 subfamily G member 4	Q8NGQ1
Approved	OR9G9	olfactory receptor family 9 subfamily G member 9	P0C7N8
Approved	OR9I1	olfactory receptor family 9 subfamily I member 1	Q8NGQ6
Approved	OR9K2	olfactory receptor family 9 subfamily K member 2	Q8NGE7
Approved	OR9Q1	olfactory receptor family 9 subfamily Q member 1	Q8NGQ5
Approved	OR9Q2	olfactory receptor family 9 subfamily Q member 2	Q8NGE9
Approved	OR10A2	olfactory receptor family 10 subfamily A member 2	Q9H208
Approved	OR10A3	olfactory receptor family 10 subfamily A member 3	P58181
Approved	OR10A4	olfactory receptor family 10 subfamily A member 4	Q9H209
Approved	OR10A5	olfactory receptor family 10 subfamily A member 5	Q9H207
Approved	OR10A7	olfactory receptor family 10 subfamily A member 7	Q8NGE5
Approved	OR10AD1	olfactory receptor family 10 subfamily AD member 1	Q8NGE0
Approved	OR10AG1	olfactory receptor family 10 subfamily AG member 1	Q8NH19
Approved	OR10C1	olfactory receptor family 10 subfamily C member 1	Q96KK4
Approved	OR10D3	olfactory receptor family 10 subfamily D member 3	Q8NH80
Approved	OR10G2	olfactory receptor family 10 subfamily G member 2	Q8NGC3
Approved	OR10G3	olfactory receptor family 10 subfamily G member 3	Q8NGC4
Approved	OR10G4	olfactory receptor family 10 subfamily G member 4	Q8NGN3
Approved	OR10G6	olfactory receptor family 10 subfamily G member 6	Q8NH81
Approved	OR10G7	olfactory receptor family 10 subfamily G member 7	Q8NGN6
Approved	OR10G8	olfactory receptor family 10 subfamily G member 8	Q8NGN5
Approved	OR10G9	olfactory receptor family 10 subfamily G member 9	Q8NGN4
Approved	OR10H1	olfactory receptor family 10 subfamily H member 1	Q9Y4A9
Approved	OR10H2	olfactory receptor family 10 subfamily H member 2	O60403
Approved	OR10H3	olfactory receptor family 10 subfamily H member 3	O60404
Approved	OR10H4	olfactory receptor family 10 subfamily H member 4	Q8NGA5
Approved	OR10H5	olfactory receptor family 10 subfamily H member 5	Q8NGA6
Approved	OR10J1	olfactory receptor family 10 subfamily J member 1	P30954
Approved	OR10J3	olfactory receptor family 10 subfamily J member 3	Q5JRS4
Approved	OR10J5	olfactory receptor family 10 subfamily J member 5	Q8NHC4
Approved	OR10K1	olfactory receptor family 10 subfamily K member 1	Q8NGX5
Approved	OR10K2	olfactory receptor family 10 subfamily K member 2	Q6IF99
Approved	OR10P1	olfactory receptor family 10 subfamily P member 1	Q8NGE3
Approved	OR10Q1	olfactory receptor family 10 subfamily Q member 1	Q8NGQ4
Approved	OR10R2	olfactory receptor family 10 subfamily R member 2	Q8NGX6
Approved	OR10S1	olfactory receptor family 10 subfamily S member 1	Q8NGN2
Approved	OR10T2	olfactory receptor family 10 subfamily T member 2	Q8NGX3
Approved	OR10V1	olfactory receptor family 10 subfamily V member 1	Q8NGI7
Approved	OR10W1	olfactory receptor family 10 subfamily W member 1	Q8NGF6
Approved	OR10X1	olfactory receptor family 10 subfamily X member 1	Q8NGY0
Approved	OR10Z1	olfactory receptor family 10 subfamily Z member 1	Q8NGY1
Approved	OR11A1	olfactory receptor family 11 subfamily A member 1	Q9GZK7
Approved	OR11G2	olfactory receptor family 11 subfamily G member 2	Q8NGC1
Approved	OR11H1	olfactory receptor family 11 subfamily H member 1	Q8NG94
Approved	OR11H2	olfactory receptor family 11 subfamily H member 2	Q8NH07
Approved	OR11H4	olfactory receptor family 11 subfamily H member 4	Q8NGC9
Approved	OR11H6	olfactory receptor family 11 subfamily H member 6	Q8NGC7
Approved	OR11H12	olfactory receptor family 11 subfamily H member 12	B2RN74
Approved	OR11L1	olfactory receptor family 11 subfamily L member 1	Q8NGX0
Approved	OR12D2	olfactory receptor family 12 subfamily D member 2	P58182
Approved	OR12D3	olfactory receptor family 12 subfamily D member 3	Q9UGF7
